Endereço de Origem,Latitude,Longitude,Raio de Busca (m),Tipo de Estabelecimento,Número de Vértices,Número de Arestas,Densidade do Grafo,Tempo Médio Dijkstra (s),Tempo Médio Astar (s),Tempo Médio Bellman ford (s),Tempo Médio Bidirectional dijkstra (s),Tempo Médio Bidirectional a star (s)
"Avenida Rio Branco, Saara, Centro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20011-040, Brasil",-22.9056066,-43.1775058,500,pizza,677,800,0.0017480531058533559,0.0,0.0009999275207519531,0.0009999275207519531,0.0,0.0
"Avenida Rio Branco, Saara, Centro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20011-040, Brasil",-22.9056066,-43.1775058,1000,pizza,2623,3089,0.00044914537333736967,0.0007977724075317383,0.0006999969482421875,0.005498170852661133,0.0007000446319580078,0.00019998550415039061
"Avenida Rio Branco, Saara, Centro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20011-040, Brasil",-22.9056066,-43.1775058,1500,pizza,4320,5446,0.00029188426676271084,0.001156165049626277,0.0009652467874380258,0.011091874195979191,0.0012315603402944712,0.00015326646658090444
"Avenida Rio Branco, Saara, Centro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20011-040, Brasil",-22.9056066,-43.1775058,2000,pizza,6458,8868,0.00021266540982720433,0.002066675821940104,0.0013392289479573567,0.02958057721455892,0.0020667076110839843,0.00020324389139811199
"Avenida Rio Branco, Saara, Centro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20011-040, Brasil",-22.9056066,-43.1775058,2500,brazilian,8560,12477,0.0001702995043748014,0.003167231877644857,0.0017777283986409504,0.045267211066351995,0.003111177020602756,0.0003333091735839844
"Avenida Rio Branco, Saara, Centro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20011-040, Brasil",-22.9056066,-43.1775058,3000,brazilian,10410,15628,0.00014422603508804958,0.0036883865083966938,0.00135716370173863,0.053555147988455634,0.0037129606519426617,0.00035841124398367744
"Avenida Rio Branco, Saara, Centro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20011-040, Brasil",-22.9056066,-43.1775058,3500,japanese,12742,18676,0.00011503837776619839,0.0048000097274780275,0.00270991325378418,0.07600409984588623,0.005151104927062988,0.0006000995635986328
"Avenida Rio Branco, Saara, Centro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20011-040, Brasil",-22.9056066,-43.1775058,4000,japanese,14997,22092,9.823250326245564e-05,0.004966259002685547,0.0021818334406072445,0.0994375619021329,0.004956592213023792,0.0005456967787309127
"Avenida Rio Branco, Saara, Centro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20011-040, Brasil",-22.9056066,-43.1775058,4500,japanese,18188,26956,8.149096025336759e-05,0.01837480068206787,0.0027000904083251953,0.11558576424916585,0.006000002225240071,0.0007533232371012369
"Avenida Rio Branco, Saara, Centro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20011-040, Brasil",-22.9056066,-43.1775058,5000,japanese,20394,30131,7.244860228393984e-05,0.0059613386789957685,0.002337078253428141,0.14666362603505453,0.00608756144841512,0.0006663997968037924
"Avenida Rio Branco, Saara, Centro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20011-040, Brasil",-22.9056066,-43.1775058,5500,japanese,22933,34119,6.487740788280871e-05,0.0062999725341796875,0.002166132132212321,0.1832402547200521,0.0062924424807230634,0.00074996550877889
"Avenida Rio Branco, Saara, Centro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20011-040, Brasil",-22.9056066,-43.1775058,6000,japanese,26224,38927,5.660693283590546e-05,0.009514644742012024,0.00786145031452179,0.2562306225299835,0.010199755430221558,0.0009374767541885376
"Avenida Rio Branco, Saara, Centro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20011-040, Brasil",-22.9056066,-43.1775058,6500,japanese,29964,45005,5.0127458181826555e-05,0.01360019048055013,0.009033189879523383,0.32869642310672337,0.012581600083245171,0.000888930426703559
"Avenida Rio Branco, Saara, Centro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20011-040, Brasil",-22.9056066,-43.1775058,7000,burger,37974,57882,4.014045338956253e-05,0.015728972174904564,0.020548733797940342,0.5270884903994474,0.028347492218017578,0.004868724129416726
"Avenida Rio Branco, Saara, Centro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20011-040, Brasil",-22.9056066,-43.1775058,7500,barbecue,43233,66587,3.562613821517588e-05,0.021539998054504395,0.011850309371948243,0.654921007156372,0.036481595039367674,0.0009998559951782226
"Avenida Rio Branco, Saara, Centro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20011-040, Brasil",-22.9056066,-43.1775058,8000,barbecue,47988,74413,3.23141371195912e-05,0.021602821350097657,0.010779881477355957,0.7944313764572144,0.020327329635620117,0.0009999036788940429
"Avenida Rio Branco, Saara, Centro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20011-040, Brasil",-22.9056066,-43.1775058,8500,barbecue,54134,84883,2.8965998628172652e-05,0.02366030216217041,0.009552693367004395,0.9793266534805298,0.024101686477661134,0.0009999513626098634
"Avenida Rio Branco, Saara, Centro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20011-040, Brasil",-22.9056066,-43.1775058,9000,barbecue,61939,98552,2.5688815231492236e-05,0.03412109613418579,0.018924673398335774,1.2236771782239277,0.0519187847773234,0.006892780462900798
"Avenida Rio Branco, Saara, Centro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20011-040, Brasil",-22.9056066,-43.1775058,9500,barbecue,68291,110204,2.3630710144460115e-05,0.05513449509938558,0.018796106179555256,1.4502665201822917,0.03448539972305298,0.00687559445699056
"Avenida Rio Branco, Saara, Centro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20011-040, Brasil",-22.9056066,-43.1775058,10000,fish,73781,120195,2.208021071966519e-05,0.05854175090789795,0.01117711067199707,1.7773629188537599,0.02785303592681885,0.0007998466491699219
"Avenida Rio Branco, Saara, Centro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20011-040, Brasil",-22.9056066,-43.1775058,10500,american,81688,134157,2.010490976507916e-05,0.08751702308654785,0.047005081176757814,2.175897169113159,0.08513729572296143,0.00785069465637207
"Avenida Rio Branco, Saara, Centro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 20011-040, Brasil",-22.9056066,-43.1775058,11000,chinese,88374,146329,1.873640622856628e-05,0.09314349293708801,0.037634044885635376,2.7133931815624237,0.1360408067703247,0.007952570915222168
